id,dusun,rw,rt,nama_desa,nama_kecamatan,nama_kabupaten,nama_provinsi
wilayah-1,Dusun Krajan,01,01,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-2,Dusun Krajan,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-3,Dusun Krajan,01,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-4,Dusun Krajan,01,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-5,Dusun Krajan,01,05,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-6,Dusun Krajan,01,06,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-7,Dusun Krajan,01,07,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-8,Dusun Krajan,01,08,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-9,Dusun Krajan,02,01,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-10,Dusun Krajan,02,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-11,Dusun Krajan,02,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-12,Dusun Krajan,02,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-13,Dusun Krajan,02,05,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-14,Dusun Krajan,02,06,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-15,Dusun Krajan,02,07,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-16,Dusun Krajan,02,08,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-17,Dusun Krajan,03,01,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-18,Dusun Krajan,03,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-19,Dusun Krajan,03,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-20,Dusun Krajan,03,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-21,Dusun Krajan,03,05,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-22,Dusun Krajan,03,06,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-23,Dusun Krajan,03,07,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-24,Dusun Krajan,03,08,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-25,Dusun Krajan,04,01,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-26,Dusun Krajan,04,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-27,Dusun Krajan,04,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-28,Dusun Krajan,04,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-29,Dusun Krajan,04,05,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-30,Dusun Krajan,04,06,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-31,Dusun Krajan,04,07,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-32,Dusun Krajan,04,08,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-33,Dusun Krajan,05,01,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-34,Dusun Krajan,05,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-35,Dusun Krajan,05,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-36,Dusun Krajan,05,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-37,Dusun Krajan,05,05,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-38,Dusun Krajan,05,06,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-39,Dusun Krajan,05,07,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-40,Dusun Krajan,05,08,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-41,Dusun Sumber,01,01,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-42,Dusun Sumber,01,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-43,Dusun Sumber,01,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-44,Dusun Sumber,01,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-45,Dusun Sumber,01,05,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-46,Dusun Sumber,01,06,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-47,Dusun Sumber,01,07,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-48,Dusun Sumber,01,08,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-49,Dusun Sumber,02,01,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-50,Dusun Sumber,02,02,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-51,Dusun Sumber,02,03,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-52,Dusun Sumber,02,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
wilayah-53,Dusun Sumber,02,05,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat
